,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
110,maxda rx3,18,3,70,90,2124,13.5,73,Japan,-0.90241418501182,-0.500074980527376
111,ford pinto,19,4,122,85,2310,18.5,73,US,0.128004756795874,-0.003839065977245
112,mercury capri v6,21,6,155,107,2472,14,73,US,0.368299528064954,-0.010213991556906
113,fiat 124 sport coupe,26,4,98,90,2265,15.5,73,Europe,-0.755842110639148,0.85641634256319
114,chevrolet monte carlo s,15,8,350,145,4082,13,73,US,0.904973777311436,0.016404118342644
115,pontiac grand prix,16,8,400,230,4278,9.5,73,US,1.07828009036278,0.016948547133727
116,fiat 128,29,4,68,49,1867,19.5,73,Europe,-0.902598462021597,0.849910011129239
117,opel manta,24,4,116,75,2158,15.5,73,Europe,-0.754861668196618,0.858203742914636
118,audi 100ls,20,4,114,91,2582,14,73,Europe,-0.67164492237762,0.868085442242877
119,volvo 144ea,19,4,121,112,2868,15.5,73,Europe,-0.621307477957656,0.875209769488375
120,dodge dart custom,15,8,318,150,3399,11,73,US,0.842238475659246,0.007724777886495
121,saab 99le,24,4,121,110,2660,14,73,Europe,-0.660929953428492,0.862963999895401
122,toyota mark ii,20,6,156,122,2807,13.5,73,Japan,-0.511792334827008,-0.496027259828756
123,oldsmobile omega,11,8,350,180,3664,11,73,US,0.949545215439409,0.01864403092787
124,plymouth duster,20,6,198,95,3102,16.5,74,US,0.418797851624616,-0.015791853803065
125,amc hornet,19,6,232,100,2901,16,74,US,0.446703085037345,-0.016117208367231
126,chevrolet nova,15,6,250,100,3336,17,74,US,0.51392033014996,-0.003962246536976
127,datsun b210,31,4,79,67,1950,19,74,Japan,-0.978468819222092,-0.534792901057125
128,ford pinto,26,4,122,80,2451,16.5,74,US,0.091038091479467,-0.0326257465979
129,toyota corolla 1200,32,4,71,65,1836,21,74,Japan,-1.01431911281531,-0.535476441862324
130,chevrolet vega,25,4,140,75,2542,17,74,US,0.110458902695897,-0.029628646721051
131,chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,US,0.542758546246317,-0.001440031406874
132,amc matador,16,6,258,110,3632,18,74,US,0.543838833865539,-0.001214065777554
133,plymouth satellite sebring,18,6,225,105,3613,16.5,74,US,0.505424163241665,-0.006909803531976
134,ford gran torino,16,8,302,140,4141,14,74,US,0.839065266590195,0.000105829674347
135,buick century luxus (sw),13,8,350,150,4699,14.5,74,US,0.95014746632337,0.011821147054645
136,dodge coronet custom (sw),14,8,318,150,4457,13.5,74,US,0.904088280409038,0.006510899209286
137,ford gran torino (sw),14,8,302,140,4638,16,74,US,0.878055778649088,0.010460560574393
138,amc matador (sw),14,8,304,150,4257,15.5,74,US,0.864779362029789,0.006768724246722
139,audi fox,29,4,98,83,2219,16.5,74,Europe,-0.803667872498109,0.835920376204803
140,volkswagen dasher,26,4,79,67,1963,15.5,74,Europe,-0.834952691831233,0.836601565820141
141,opel manta,26,4,97,78,2300,14.5,74,Europe,-0.774389501075815,0.839305806339355
142,toyota corona,31,4,76,52,1649,16.5,74,Japan,-1.00758981062912,-0.541173372618417
143,datsun 710,32,4,83,61,2003,19,74,Japan,-0.984034308288358,-0.536247797336752
144,dodge colt,28,4,90,75,2125,14.5,74,US,0.032411854721338,-0.041788077914298
145,fiat 128,24,4,90,75,2108,15.5,74,Europe,-0.792865734167417,0.841819871898186
146,fiat 124 tc,26,4,116,75,2246,14,74,Europe,-0.763146936924071,0.838207694269854
147,honda civic,24,4,120,97,2489,15,74,Japan,-0.800567728331182,-0.520601406151823
148,subaru,26,4,108,93,2391,15.5,74,Japan,-0.838028854604184,-0.524631503513342
149,fiat x1.9,31,4,79,67,2000,16,74,Europe,-0.864857544020779,0.829014696635963
150,plymouth valiant custom,19,6,225,95,3264,16,75,US,0.45113856271755,-0.028702709151665
151,chevrolet nova,18,6,250,105,3459,16,75,US,0.505387292937847,-0.02453037877387
152,mercury monarch,15,6,250,72,3432,21,75,US,0.452433626678806,-0.015640191961525
153,ford maverick,15,6,250,72,3158,19.5,75,US,0.439867838025599,-0.019919979228068
154,pontiac catalina,16,8,400,170,4668,11.5,75,US,1.00150650961922,-0.011438320730652
155,chevrolet bel air,15,8,350,145,4440,14,75,US,0.902871378280583,-0.010582141141816
156,plymouth grand fury,16,8,318,150,4498,14.5,75,US,0.877350274263188,-0.01113056797173
157,ford ltd,14,8,351,148,4657,13.5,75,US,0.933177860198682,-0.007236612445609
158,buick century,17,6,231,110,3907,21,75,US,0.506709033687719,-0.012859690872268
159,chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,US,0.536807652672656,-0.014175297775838
160,amc matador,15,6,258,110,3730,19,75,US,0.539465412048452,-0.013215965786038
161,plymouth fury,18,6,225,95,3785,19,75,US,0.480126980848766,-0.018699691091162
162,buick skyhawk,21,6,231,110,3039,15,75,US,0.450404656518599,-0.034614147447862
163,chevrolet monza 2+2,20,8,262,110,3221,13.5,75,US,0.664616162255189,-0.033387725667882
164,ford mustang ii,13,8,302,129,3169,12,75,US,0.767603015503507,-0.022526582721479
165,toyota corolla,29,4,97,75,2171,16,75,Japan,-0.918880324346757,-0.547923024120971
166,ford pinto,23,4,140,83,2639,17,75,US,0.127388392181304,-0.040684042214784
167,amc gremlin,20,6,232,100,2914,16,75,US,0.429654301461076,-0.033444911595377
168,pontiac astro,23,4,140,78,2592,18.5,75,US,0.10890762493111,-0.039685019089411
169,toyota corona,24,4,134,96,2702,13.5,75,Japan,-0.776481896711614,-0.535974312925597
170,volkswagen dasher,25,4,90,71,2223,16.5,75,Europe,-0.812597801229388,0.826391764844713
171,datsun 710,24,4,119,97,2545,17,75,Japan,-0.820951632292107,-0.533587255296741
172,ford pinto,18,6,171,97,2984,14.5,75,US,0.40076305767757,-0.03157397684635
173,volkswagen rabbit,29,4,90,70,1937,14,75,Europe,-0.84525422022364,0.814032471318277
174,amc pacer,19,6,232,90,3211,17,75,US,0.441065863875254,-0.028278147865454
175,audi 100ls,23,4,115,95,2694,15,75,Europe,-0.705298163066894,0.83386090314567
176,peugeot 504,23,4,120,88,2957,17,75,Europe,-0.700632097585364,0.838297313104352
177,volvo 244dl,22,4,121,98,2945,14.5,75,Europe,-0.668102220567188,0.837559395712391
178,saab 99le,25,4,121,115,2671,13.5,75,Europe,-0.681338136473686,0.829541153435628
179,honda civic cvcc,33,4,91,53,1795,17.5,75,Japan,-1.01223705562836,-0.55768041332578
180,fiat 131,28,4,107,86,2464,15.5,76,Europe,-0.785641690816982,0.807517211070606
181,opel 1900,25,4,116,81,2220,16.9,76,Europe,-0.793420047751153,0.811688744830173
182,capri ii,25,4,140,92,2572,14.9,76,US,0.121215251027144,-0.062399066856013
183,dodge colt,26,4,98,79,2255,17.7,76,US,0.022928904170725,-0.064836873615487
184,renault 12tl,27,4,101,83,2202,15.3,76,Europe,-0.807623164858526,0.806329421443458
185,chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,US,0.820155148987772,-0.034346344238222
186,dodge coronet brougham,16,8,318,150,4190,13,76,US,0.850028186068029,-0.031484359372375
187,amc matador,15.5,8,304,120,3962,13.9,76,US,0.782383412474218,-0.033286784786691
188,ford gran torino,14.5,8,351,152,4215,12.8,76,US,0.892412644126724,-0.028627044135381
189,plymouth valiant,22,6,225,100,3233,15.4,76,US,0.428195738384974,-0.050283796584388
190,chevrolet nova,22,6,250,105,3353,14.5,76,US,0.469990318358762,-0.049766145447325
191,ford maverick,24,6,200,81,3012,17.6,76,US,0.342251769810644,-0.054361628835637
192,amc hornet,22.5,6,232,90,3085,17.6,76,US,0.394676634624628,-0.050501455775002
193,chevrolet chevette,29,4,85,52,2035,22.2,76,US,-0.08184962547502,-0.068332004321676
194,chevrolet woody,24.5,4,98,60,2164,22.1,76,US,-0.023809265440153,-0.059116357410928
195,vw rabbit,29,4,90,70,1937,14.2,76,Europe,-0.858533233138626,0.798505071191486
196,honda civic,33,4,91,53,1795,17.4,76,Japan,-1.02374288866805,-0.573543871158434
197,dodge aspen se,20,6,225,100,3651,17.7,76,US,0.459233861246157,-0.040342498490305
198,ford granada ghia,18,6,250,78,3574,21,76,US,0.440663854716573,-0.034860801436732
199,pontiac ventura sj,18.5,6,250,110,3645,16.2,76,US,0.509611066344501,-0.038907588941002
200,amc pacer d/l,17.5,6,258,95,3193,17.8,76,US,0.459720564248743,-0.040361367480682
201,volkswagen rabbit,29.5,4,97,71,1825,12.2,76,Europe,-0.851346991706612,0.794441949266991
202,datsun b-210,32,4,85,70,1990,17,76,Japan,-0.985042172465732,-0.569678575011495
203,toyota corolla,28,4,97,75,2155,16.4,76,Japan,-0.928624220119034,-0.561678582811414
204,ford pinto,26.5,4,140,72,2565,13.6,76,US,0.095643904207732,-0.067412589177209
205,volvo 245,20,4,130,102,3150,15.7,76,Europe,-0.646954730179193,0.828739275194721
206,plymouth volare premier v8,13,8,318,150,3940,13.2,76,US,0.84719777374597,-0.02853333078156
207,peugeot 504,19,4,120,88,3270,21.9,76,Europe,-0.693333854807626,0.837802711468282
208,toyota mark ii,19,6,156,108,2930,15.5,76,Japan,-0.560942858601619,-0.538833688896823
209,mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,Europe,-0.367126469934751,0.842534813527554
210,cadillac seville,16.5,8,350,180,4380,12.1,76,US,0.929928876295926,-0.029933014379867
211,chevy c10,13,8,350,145,4055,12,76,US,0.884419261218121,-0.028827347762447
212,ford f108,13,8,302,130,3870,15,76,US,0.793792755142233,-0.028219828673345
213,dodge d100,13,8,318,150,3755,14,76,US,0.827998993766532,-0.029392312907968
214,honda accord cvcc,31.5,4,98,68,2045,18.5,77,Japan,-0.990095933688706,-0.582393239357912
215,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,US,0.008461942428256,-0.091457877388031
216,renault 5 gtl,36,4,79,58,1825,18.6,77,Europe,-0.970737049259868,0.774090965833035
217,plymouth arrow gs,25.5,4,122,96,2300,15.5,77,US,0.070835093678717,-0.080829854804966
218,datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,Japan,-1.00842983206353,-0.588630374823237
219,chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,US,0.790749208957254,-0.053600732285528
220,oldsmobile cutlass supreme,17,8,260,110,4060,19,77,US,0.689752991766933,-0.045683129737837
221,dodge monaco brougham,15.5,8,318,145,4140,13.7,77,US,0.826928713214557,-0.046311591135443
222,mercury cougar brougham,15,8,302,130,4295,14.9,77,US,0.803592058916449,-0.043450414321744
223,chevrolet concours,17.5,6,250,110,3520,16.4,77,US,0.492523545980935,-0.053921293263909
224,buick skylark,20.5,6,231,105,3425,16.9,77,US,0.442218549198435,-0.059712158337287
225,plymouth volare custom,19,6,225,100,3630,17.7,77,US,0.451463116109979,-0.054593570230243
226,ford granada,18.5,6,250,98,3525,19,77,US,0.457325643168776,-0.053225833915793
227,pontiac grand prix lj,16,8,400,180,4220,11.1,77,US,0.956512630181995,-0.047168818203084
228,chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,US,0.899244031168847,-0.047279473741582
229,chrysler cordoba,15.5,8,400,190,4325,12.2,77,US,0.973085463867491,-0.043619917112435
230,ford thunderbird,16,8,351,149,4335,14.5,77,US,0.867137611190604,-0.044026306492627
231,volkswagen rabbit custom,29,4,97,78,1940,14.5,77,Europe,-0.856744769774819,0.783537295209105
232,pontiac sunbird coupe,24.5,4,151,88,2740,16,77,US,0.123296872122585,-0.074596057822735
233,toyota corolla liftback,26,4,97,75,2265,18.2,77,Japan,-0.930818785037312,-0.570970883765099
234,ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,US,0.111565144140455,-0.076397189617962
235,chevrolet chevette,30.5,4,98,63,2051,17,77,US,-0.04684987372668,-0.091709204540059
236,dodge colt m/m,33.5,4,98,83,2075,15.9,77,US,-0.032622635846846,-0.096871054403527
237,subaru dl,30,4,97,67,1985,16.4,77,Japan,-0.975457397885968,-0.582818631694231
238,volkswagen dasher,30.5,4,97,78,2190,14.1,77,Europe,-0.843779153797961,0.782911625916422
239,datsun 810,22,6,146,97,2815,14.5,77,Japan,-0.615555463827593,-0.562473747712078
240,bmw 320i,21.5,4,121,110,2600,12.8,77,Europe,-0.691996070061396,0.802293777663536
241,mazda rx-4,21.5,3,80,110,2720,13.5,77,Japan,-0.892859827629739,-0.562372684986325
242,volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,Europe,-1.03240889637057,0.750635035450739
243,ford fiesta,36.1,4,98,66,1800,14.4,78,US,-0.093073553831533,-0.122130967972288
244,mazda glc deluxe,32.8,4,78,52,1985,19.4,78,Japan,-1.05588860620635,-0.600789980692791
245,datsun b210 gx,39.4,4,85,70,2070,18.6,78,Japan,-1.05660403707542,-0.611207195700419
246,honda civic cvcc,36.1,4,91,60,1800,16.4,78,Japan,-1.05182394442491,-0.611058747606643
247,oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,US,0.62667250361779,-0.076877696316196
248,dodge diplomat,19.4,8,318,140,3735,13.2,78,US,0.7568922478665,-0.073329250869231
249,mercury monarch ghia,20.2,8,302,139,3570,12.8,78,US,0.726851667381027,-0.076846746060891
250,pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,US,0.432890578743635,-0.069634082073263
251,chevrolet malibu,20.5,6,200,95,3155,18.2,78,US,0.363215466202719,-0.077228098366922
252,ford fairmont (auto),20.2,6,200,85,2965,15.8,78,US,0.352452873610816,-0.081679984548176
253,ford fairmont (man),25.1,4,140,88,2720,15.4,78,US,0.100294629706262,-0.092295991707
254,plymouth volare,20.5,6,225,100,3430,17.2,78,US,0.417724871261205,-0.075351947106498
255,amc concord,19.4,6,232,90,3210,17.2,78,US,0.401127358127707,-0.075997751813637
256,buick century special,20.6,6,231,105,3380,15.8,78,US,0.432506640715251,-0.07729269334916
257,mercury zephyr,20.8,6,200,85,3070,16.7,78,US,0.351764973639821,-0.080695412262854
258,dodge aspen,18.6,6,225,110,3620,18.7,78,US,0.446938192961289,-0.068169117315397
259,amc concord d/l,18.1,6,258,120,3410,15.1,78,US,0.494570581892198,-0.072672966105981
260,chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,US,0.728778951030228,-0.075774039566343
261,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,US,0.540349087506523,-0.071611258075238
262,ford futura,18.1,8,302,139,3205,11.2,78,US,0.720293432522653,-0.078532732858383
263,dodge magnum xe,17.5,8,318,140,4080,13.7,78,US,0.792262675444956,-0.066266826043392
264,chevrolet chevette,30,4,98,68,2155,16.5,78,US,-0.038933820960049,-0.105948903018568
265,toyota corona,27.5,4,134,95,2560,14.2,78,Japan,-0.850095183232531,-0.589787347538393
266,datsun 510,27.2,4,119,97,2300,14.7,78,Japan,-0.881911214900314,-0.591181098049205
267,dodge omni,30.9,4,105,75,2230,14.5,78,US,-0.012381977234455,-0.108635314713384
268,toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,Japan,-0.818961521813169,-0.578664726621938
269,plymouth sapporo,23.2,4,156,105,2745,16.7,78,US,0.139634381905132,-0.086475804913997
270,oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,US,0.111352999429583,-0.086415658796175
271,datsun 200-sx,23.9,4,119,97,2405,14.9,78,Japan,-0.855183677443658,-0.584352226212258
272,audi 5000,20.3,5,131,103,2830,15.9,78,Europe,-0.617659773776636,0.793613782738543
273,volvo 264gl,17,6,163,125,3140,13.6,78,Europe,-0.427461313963856,0.800463197699679
274,saab 99gle,21.6,4,121,115,2795,15.7,78,Europe,-0.700639465979855,0.791706311249184
275,peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe,-0.405069031318432,0.807225435113366
276,volkswagen scirocco,31.5,4,89,71,1990,14.9,78,Europe,-0.897298984503335,0.764081148641376
277,honda accord lx,29.5,4,98,68,2135,16.6,78,Japan,-0.971985636935554,-0.596019996450622
278,pontiac lemans v6,21.5,6,231,115,3245,15.4,79,US,0.4187199878045,-0.095831890503145
279,mercury zephyr 6,19.8,6,200,85,2990,18.2,79,US,0.330513476595256,-0.093825941551928
280,ford fairmont 4,22.3,4,140,88,2890,17.3,79,US,0.10697705319458,-0.099547361315297
281,amc concord dl 6,20.2,6,232,90,3265,18.2,79,US,0.382646868725548,-0.091466879676324
282,dodge aspen 6,20.6,6,225,110,3360,16.6,79,US,0.41497947582996,-0.092138834512616
283,chevrolet caprice classic,17,8,305,130,3840,15.4,79,US,0.731454443583237,-0.082090839223976
284,ford ltd landau,17.6,8,302,129,3725,13.4,79,US,0.726973599405482,-0.086507325726487
285,mercury grand marquis,16.5,8,351,138,3955,13.2,79,US,0.804855479673311,-0.081958182404583
286,dodge st. regis,18.2,8,318,135,3830,15.2,79,US,0.741628688028831,-0.084134866472864
287,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,US,0.843443525597738,-0.076097205349853
288,ford country squire (sw),15.5,8,351,142,4054,14.3,79,US,0.816817012268324,-0.07789884457033
289,chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,US,0.664219261543208,-0.088973923306944
290,chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,US,0.814793694880031,-0.085104130859092
291,vw rabbit custom,31.9,4,89,71,1925,14,79,Europe,-0.911547986441453,0.746025028112964
292,maxda glc deluxe,34.1,4,86,65,1975,15.2,79,Japan,-1.02949397564289,-0.62288998855876
293,dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,US,-0.077159743922503,-0.135452511913319
294,amc spirit dl,27.4,4,121,80,2670,15,79,US,0.047347010424813,-0.113371044152823
295,mercedes benz 300d,25.4,5,183,77,3530,20.1,79,Europe,-0.617157493041608,0.779632494324365
