,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
30,chevrolet vega 2300,28,4,140,90,2264,15.5,71,US,-0.25287655559418,0.509168526644435
31,toyota corona,25,4,113,95,2228,14,71,Japan,-0.23919024188692,0.531340078131308
32,amc gremlin,19,6,232,100,2634,13,71,US,0.241341223325847,0.37987491626735
33,plymouth satellite custom,16,6,225,105,3439,15.5,71,US,0.33192368638771,0.346974678560996
34,chevrolet chevelle malibu,17,6,250,100,3329,15.5,71,US,0.331543453403,0.340345280189313
35,ford torino 500,19,6,250,88,3302,15.5,71,US,0.289679605649923,0.33902483950063
36,amc matador,18,6,232,100,3288,15.5,71,US,0.297374874131905,0.347169465937163
37,chevrolet impala,14,8,350,165,4209,12,71,US,0.950433293929909,0.145987033136381
38,pontiac catalina brougham,14,8,400,175,4464,11.5,71,US,1.06041670065582,0.108105290256662
39,ford galaxie 500,14,8,351,153,4154,13.5,71,US,0.908931295196854,0.151348611665189
40,plymouth fury iii,14,8,318,150,4096,13,71,US,0.863218404813768,0.169789678612799
41,dodge monaco (sw),12,8,383,180,4955,11.5,71,US,1.12069752832482,0.094159126834977
42,ford country squire (sw),13,8,400,170,4746,12,71,US,1.08597970467653,0.097499963098175
43,pontiac safari (sw),13,8,400,175,5140,12,71,US,1.13852565255542,0.075090864449067
44,amc hornet sportabout (sw),18,6,258,110,2962,13.5,71,US,0.329860736879051,0.351191722665346
45,chevrolet vega (sw),22,4,140,72,2408,19,71,US,-0.253171668166245,0.52409474392964
46,pontiac firebird,19,6,250,100,3282,15,71,US,0.314263836338952,0.336787630575252
47,ford mustang,18,6,250,88,3139,14.5,71,US,0.290042813359528,0.351255472570942
48,mercury capri 2000,23,4,122,86,2220,14,71,US,-0.228896230832248,0.536783021712438
49,opel 1900,28,4,116,90,2123,14,71,Europe,-0.281872665552532,0.527682943769783
50,peugeot 304,30,4,79,70,2074,19.5,71,Europe,-0.438245457211678,0.54350211356975
51,fiat 124b,30,4,88,76,2065,14.5,71,Europe,-0.368602087649379,0.540483894113203
52,toyota corolla 1200,31,4,71,65,1773,19,71,Japan,-0.493530170322916,0.561504940613156
53,datsun 1200,35,4,72,69,1613,18,71,Japan,-0.526897888352602,0.556294006974715
54,volkswagen model 111,27,4,97,60,1834,19,71,Europe,-0.431357997280348,0.561031281234867
55,plymouth cricket,26,4,91,70,1955,20.5,71,US,-0.413069687865819,0.556753226361361
56,toyota corona hardtop,24,4,113,95,2278,15.5,72,Japan,-0.263608840174023,0.453796265489073
57,dodge colt hardtop,25,4,97.5,80,2126,17,72,US,-0.349159444144022,0.469189401301881
58,volkswagen type 3,23,4,97,54,2254,23.5,72,Europe,-0.429887775733616,0.473692761719014
59,chevrolet vega,20,4,140,90,2408,19.5,72,US,-0.23195658267576,0.447501447795301
60,ford pinto runabout,21,4,122,86,2226,16.5,72,US,-0.25948441751038,0.464283519595105
61,chevrolet impala,13,8,350,165,4274,12,72,US,0.942405825665164,0.068291226099098
62,pontiac catalina,14,8,400,175,4385,12,72,US,1.02309780874718,0.034713525656529
63,plymouth fury iii,15,8,318,150,4135,13.5,72,US,0.830401045957871,0.086989649155975
64,ford galaxie 500,14,8,351,153,4129,13,72,US,0.887389966705155,0.075516559220101
65,amc ambassador sst,17,8,304,150,3672,11.5,72,US,0.765558288093476,0.112242513482404
66,mercury marquis,11,8,429,208,4633,11,72,US,1.1800013451279,0.009164814464523
67,buick lesabre custom,13,8,350,155,4502,13.5,72,US,0.934570478237407,0.058455373384381
68,oldsmobile delta 88 royale,12,8,350,160,4456,13.5,72,US,0.947120661803153,0.062571461317832
69,chrysler newport royal,13,8,400,190,4422,12.5,72,US,1.05811480575804,0.031272780494174
70,mazda rx2 coupe,19,3,70,97,2330,13.5,72,Japan,-0.355572533320035,0.533683723748932
71,amc matador (sw),15,8,304,150,3892,12.5,72,US,0.796995229821967,0.106388678617781
72,chevrolet chevelle concours (sw),13,8,307,130,4098,14,72,US,0.789039823085471,0.105626376953912
73,ford gran torino (sw),13,8,302,140,4294,16,72,US,0.803351831876518,0.093578492194639
74,plymouth satellite custom (sw),14,8,318,150,4077,14,72,US,0.827600787468867,0.092993299580638
75,volvo 145e (sw),18,4,121,112,2933,14.5,72,Europe,-0.090160214223788,0.429783356733511
76,volkswagen 411 (sw),22,4,121,76,2511,18,72,Europe,-0.270716930871204,0.448714287909696
77,peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe,-0.206482420524434,0.423536203502185
78,renault 12 (sw),26,4,96,69,2189,18,72,Europe,-0.38236092016654,0.466145480805027
79,ford pinto (sw),22,4,122,86,2395,16,72,US,-0.244448569984408,0.452379315407798
80,datsun 510 (sw),28,4,97,92,2288,17,72,Japan,-0.335530141396623,0.447871591931571
81,toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,Japan,-0.208276991381135,0.441630474190068
82,dodge colt (sw),28,4,98,80,2164,15,72,US,-0.350250145391426,0.458406963640537
83,toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan,-0.350127348991159,0.462387885199406
84,buick century 350,13,8,350,175,4100,13,73,US,0.907932712529745,-0.003195222319808
85,amc matador,14,8,304,150,3672,11.5,73,US,0.767377174672077,0.044273193875512
86,chevrolet malibu,13,8,350,145,3988,13,73,US,0.840896183015437,0.011547233777776
87,ford gran torino,14,8,302,137,4042,14.5,73,US,0.752638546646,0.027986860127516
88,dodge coronet custom,15,8,318,150,3777,12.5,73,US,0.777065507703397,0.0290743839105
89,mercury marquis brougham,12,8,429,198,4952,11.5,73,US,1.1598182985456,-0.085589913356281
90,chevrolet caprice classic,13,8,400,150,4464,12,73,US,0.971037976307305,-0.036402541874723
91,ford ltd,13,8,351,158,4363,13,73,US,0.90710657664977,-0.012627764514983
92,plymouth fury gran sedan,14,8,318,150,4237,14.5,73,US,0.816626992675856,0.006896739041119
93,chrysler new yorker brougham,13,8,440,215,4735,11,73,US,1.17621756503712,-0.086709994565445
94,buick electra 225 custom,12,8,455,225,4951,11,73,US,1.24438281440678,-0.104469718891018
95,amc ambassador brougham,13,8,360,175,3821,11,73,US,0.908574988952811,0.008174010710075
96,plymouth valiant,18,6,225,105,3121,16.5,73,US,0.222637678057543,0.202425243881646
97,chevrolet nova custom,16,6,250,100,3278,18,73,US,0.262468334158101,0.190364056159394
98,amc hornet,18,6,232,100,2945,16,73,US,0.207256999267796,0.21043531891965
99,ford maverick,18,6,250,88,3021,16.5,73,US,0.20998913612056,0.201915365867085
100,plymouth duster,23,6,198,95,2904,16,73,US,0.111156438170145,0.213097706544625
101,volkswagen super beetle,26,4,97,46,1950,21,73,Europe,-0.502634391663621,0.406489187358361
102,chevrolet impala,11,8,400,150,4997,14,73,US,1.02715195981315,-0.059325127010521
103,ford country,12,8,400,167,4906,12.5,73,US,1.05434438605303,-0.061958250828956
104,plymouth custom suburb,13,8,360,170,4654,13,73,US,0.97163167427924,-0.035502434528655
105,oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,US,0.974448040123359,-0.022519381667259
106,amc gremlin,18,6,232,100,2789,15,73,US,0.199886150993181,0.219158240895915
107,toyota carina,20,4,97,88,2279,19,73,Japan,-0.319117305120362,0.396370045015103
108,chevrolet vega,21,4,140,72,2401,19.5,73,US,-0.297746414616583,0.372635065298184
109,datsun 610,22,4,108,94,2379,16.5,73,Japan,-0.276683660655862,0.379346271874221
110,maxda rx3,18,3,70,90,2124,13.5,73,Japan,-0.406233641374025,0.472444480173574
111,ford pinto,19,4,122,85,2310,18.5,73,US,-0.278385089019795,0.388145766452765
112,mercury capri v6,21,6,155,107,2472,14,73,US,0.071565329880612,0.258264524677445
113,fiat 124 sport coupe,26,4,98,90,2265,15.5,73,Europe,-0.332485965501413,0.378788360281729
114,chevrolet monte carlo s,15,8,350,145,4082,13,73,US,0.834246513596164,0.000279160229218
115,pontiac grand prix,16,8,400,230,4278,9.5,73,US,1.09542276818726,-0.058282961384421
116,fiat 128,29,4,68,49,1867,19.5,73,Europe,-0.551158251611477,0.413795941646288
117,opel manta,24,4,116,75,2158,15.5,73,Europe,-0.333471190211741,0.387361555747211
118,audi 100ls,20,4,114,91,2582,14,73,Europe,-0.21115398827425,0.374187445882875
119,volvo 144ea,19,4,121,112,2868,15.5,73,Europe,-0.13935410574173,0.352296648133611
120,dodge dart custom,15,8,318,150,3399,11,73,US,0.750136038702975,0.049813539323732
121,saab 99le,24,4,121,110,2660,14,73,Europe,-0.19371878019123,0.348906815185354
122,toyota mark ii,20,6,156,122,2807,13.5,73,Japan,0.150430776625461,0.238980665797075
123,oldsmobile omega,11,8,350,180,3664,11,73,US,0.905648887768097,0.025648648742631
124,plymouth duster,20,6,198,95,3102,16.5,74,US,0.129888412709802,0.134387948908904
125,amc hornet,19,6,232,100,2901,16,74,US,0.170203063615269,0.132262541160988
126,chevrolet nova,15,6,250,100,3336,17,74,US,0.263494366866564,0.113470607939512
127,datsun b210,31,4,79,67,1950,19,74,Japan,-0.532070594146218,0.315923723688702
128,ford pinto,26,4,122,80,2451,16.5,74,US,-0.335545283452731,0.283650402168532
129,toyota corolla 1200,32,4,71,65,1836,21,74,Japan,-0.585835913544881,0.322031474199331
130,chevrolet vega,25,4,140,75,2542,17,74,US,-0.309892853260782,0.275417974107535
131,chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,US,0.304041283839029,0.086679630646924
132,amc matador,16,6,258,110,3632,18,74,US,0.305419148880051,0.08778244679562
133,plymouth satellite sebring,18,6,225,105,3613,16.5,74,US,0.253172977191701,0.09889530610788
134,ford gran torino,16,8,302,140,4141,14,74,US,0.733223535685513,-0.061586884545596
135,buick century luxus (sw),13,8,350,150,4699,14.5,74,US,0.889949414907795,-0.105734505529122
136,dodge coronet custom (sw),14,8,318,150,4457,13.5,74,US,0.827004701839108,-0.08174393228371
137,ford gran torino (sw),14,8,302,140,4638,16,74,US,0.785369220044233,-0.082595776569186
138,amc matador (sw),14,8,304,150,4257,15.5,74,US,0.768863454484603,-0.065921458398231
139,audi fox,29,4,98,83,2219,16.5,74,Europe,-0.409357981982416,0.296071145762057
140,volkswagen dasher,26,4,79,67,1963,15.5,74,Europe,-0.453721347258713,0.332416569724417
141,opel manta,26,4,97,78,2300,14.5,74,Europe,-0.365551825253374,0.303929682128793
142,toyota corona,31,4,76,52,1649,16.5,74,Japan,-0.571556462095775,0.33869104375825
143,datsun 710,32,4,83,61,2003,19,74,Japan,-0.540973641485456,0.309999530006393
144,dodge colt,28,4,90,75,2125,14.5,74,US,-0.415545034533301,0.310865697764607
145,fiat 128,24,4,90,75,2108,15.5,74,Europe,-0.393221389442172,0.323881550755372
146,fiat 124 tc,26,4,116,75,2246,14,74,Europe,-0.349742693321026,0.299681676878815
147,honda civic,24,4,120,97,2489,15,74,Japan,-0.270965382564662,0.284431168778659
148,subaru,26,4,108,93,2391,15.5,74,Japan,-0.325079604614378,0.289513035826338
149,fiat x1.9,31,4,79,67,2000,16,74,Europe,-0.497083723464211,0.31455657205849
150,plymouth valiant custom,19,6,225,95,3264,16,75,US,0.169181050020115,0.040080468970311
151,chevrolet nova,18,6,250,105,3459,16,75,US,0.246777823641383,0.019114673390404
152,mercury monarch,15,6,250,72,3432,21,75,US,0.160033253981534,0.03747311502001
153,ford maverick,15,6,250,72,3158,19.5,75,US,0.144567760295029,0.052683823664639
154,pontiac catalina,16,8,400,170,4668,11.5,75,US,0.961984781244548,-0.217049915841358
155,chevrolet bel air,15,8,350,145,4440,14,75,US,0.816487684220995,-0.173933970246042
156,plymouth grand fury,16,8,318,150,4498,14.5,75,US,0.780989576991539,-0.168001008036232
157,ford ltd,14,8,351,148,4657,13.5,75,US,0.860469644227634,-0.183429670692554
158,buick century,17,6,231,110,3907,21,75,US,0.242338222167482,0.003031925305456
159,chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,US,0.287507349271962,0.001026985833477
160,amc matador,15,6,258,110,3730,19,75,US,0.291204173470577,0.007902169248787
161,plymouth fury,18,6,225,95,3785,19,75,US,0.205641482740054,0.014229925615216
162,buick skyhawk,21,6,231,110,3039,15,75,US,0.171586129857498,0.039212287106623
163,chevrolet monza 2+2,20,8,262,110,3221,13.5,75,US,0.477327030717397,-0.076306503156763
164,ford mustang ii,13,8,302,129,3169,12,75,US,0.627495314370922,-0.073803446938721
165,toyota corolla,29,4,97,75,2171,16,75,Japan,-0.44919343856787,0.224237634924864
166,ford pinto,23,4,140,83,2639,17,75,US,-0.291303085479796,0.196813045507957
167,amc gremlin,20,6,232,100,2914,16,75,US,0.139432268279022,0.051059749307994
168,pontiac astro,23,4,140,78,2592,18.5,75,US,-0.320336710846066,0.200130891146013
169,toyota corona,24,4,134,96,2702,13.5,75,Japan,-0.241824841852111,0.190619339368278
170,volkswagen dasher,25,4,90,71,2223,16.5,75,Europe,-0.429865879883887,0.237998209153485
171,datsun 710,24,4,119,97,2545,17,75,Japan,-0.309315461258055,0.203649916496349
172,ford pinto,18,6,171,97,2984,14.5,75,US,0.101775516907264,0.081500732364308
173,volkswagen rabbit,29,4,90,70,1937,14,75,Europe,-0.472674727750444,0.242027609065282
174,amc pacer,19,6,232,90,3211,17,75,US,0.152621054605322,0.040906714806563
175,audi 100ls,23,4,115,95,2694,15,75,Europe,-0.273079806408447,0.20204033425832
176,peugeot 504,23,4,120,88,2957,17,75,Europe,-0.270627388864144,0.187088750124199
177,volvo 244dl,22,4,121,98,2945,14.5,75,Europe,-0.21947682560803,0.188576060865384
178,saab 99le,25,4,121,115,2671,13.5,75,Europe,-0.234380483462044,0.189184542922318
179,honda civic cvcc,33,4,91,53,1795,17.5,75,Japan,-0.586554809301567,0.240075816600672
180,fiat 131,28,4,107,86,2464,15.5,76,Europe,-0.395376162485256,0.127091965648076
181,opel 1900,25,4,116,81,2220,16.9,76,Europe,-0.409053953158719,0.14644164973082
182,capri ii,25,4,140,92,2572,14.9,76,US,-0.302358039226693,0.114994206486596
183,dodge colt,26,4,98,79,2255,17.7,76,US,-0.446351151094813,0.149467531507071
184,renault 12tl,27,4,101,83,2202,15.3,76,Europe,-0.426302759434259,0.14771336307944
185,chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,US,0.694574869718645,-0.225842722865435
186,dodge coronet brougham,16,8,318,150,4190,13,76,US,0.738078122678424,-0.228359054470317
187,amc matador,15.5,8,304,120,3962,13.9,76,US,0.637220171505756,-0.200218329360043
188,ford gran torino,14.5,8,351,152,4215,12.8,76,US,0.797966466693419,-0.23974836216561
189,plymouth valiant,22,6,225,100,3233,15.4,76,US,0.131558959009286,-0.046261212439247
190,chevrolet nova,22,6,250,105,3353,14.5,76,US,0.192110257935826,-0.064523734128879
191,ford maverick,24,6,200,81,3012,17.6,76,US,0.004568056536854,-0.025358840020706
192,amc hornet,22.5,6,232,90,3085,17.6,76,US,0.079368972253965,-0.041004256651656
193,chevrolet chevette,29,4,85,52,2035,22.2,76,US,-0.604823807357924,0.163348356924242
194,chevrolet woody,24.5,4,98,60,2164,22.1,76,US,-0.521491579229258,0.162681425212352
195,vw rabbit,29,4,90,70,1937,14.2,76,Europe,-0.49833787323291,0.164565426793699
196,honda civic,33,4,91,53,1795,17.4,76,Japan,-0.609270420375156,0.162742709876097
197,dodge aspen se,20,6,225,100,3651,17.7,76,US,0.172048896941826,-0.063199686791386
198,ford granada ghia,18,6,250,78,3574,21,76,US,0.13740899983037,-0.058616034190331
199,pontiac ventura sj,18.5,6,250,110,3645,16.2,76,US,0.246479840556338,-0.071267516043084
200,amc pacer d/l,17.5,6,258,95,3193,17.8,76,US,0.171492863710679,-0.043856376366527
201,volkswagen rabbit,29.5,4,97,71,1825,12.2,76,Europe,-0.485240818803475,0.166493207589781
202,datsun b-210,32,4,85,70,1990,17,76,Japan,-0.55139616802581,0.153297723980193
203,toyota corolla,28,4,97,75,2155,16.4,76,Japan,-0.47007962579215,0.150675536660709
204,ford pinto,26.5,4,140,72,2565,13.6,76,US,-0.339575981702499,0.117081397496284
205,volvo 245,20,4,130,102,3150,15.7,76,Europe,-0.197492663801889,0.100995430287398
206,plymouth volare premier v8,13,8,318,150,3940,13.2,76,US,0.734072475894842,-0.205748757033519
207,peugeot 504,19,4,120,88,3270,21.9,76,Europe,-0.273943738116329,0.103508302235037
208,toyota mark ii,19,6,156,108,2930,15.5,76,Japan,0.056227873422025,0.006690333019617
209,mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,Europe,0.199779005897275,-0.042000073664481
210,cadillac seville,16.5,8,350,180,4380,12.1,76,US,0.855890771397613,-0.262260076209988
211,chevy c10,13,8,350,145,4055,12,76,US,0.78701237571698,-0.223712505633988
212,ford f108,13,8,302,130,3870,15,76,US,0.653416474240848,-0.190027150001543
213,dodge d100,13,8,318,150,3755,14,76,US,0.705819735742887,-0.196258702221133
214,honda accord cvcc,31.5,4,98,68,2045,18.5,77,Japan,-0.567892220789931,0.068887124950065
215,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,US,-0.469508874322576,0.060200459641301
216,renault 5 gtl,36,4,79,58,1825,18.6,77,Europe,-0.67194929390043,0.077570799205885
217,plymouth arrow gs,25.5,4,122,96,2300,15.5,77,US,-0.380038133206444,0.056859609527805
218,datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,Japan,-0.590848146124586,0.073696352678205
219,chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,US,0.647977194673172,-0.286660541987545
220,oldsmobile cutlass supreme,17,8,260,110,4060,19,77,US,0.491543807073585,-0.26775354239462
221,dodge monaco brougham,15.5,8,318,145,4140,13.7,77,US,0.697128609783989,-0.300345862804464
222,mercury cougar brougham,15,8,302,130,4295,14.9,77,US,0.660537499795162,-0.296223675278596
223,chevrolet concours,17.5,6,250,110,3520,16.4,77,US,0.215543548298071,-0.138949326463935
224,buick skylark,20.5,6,231,105,3425,16.9,77,US,0.143208868677293,-0.133843905236996
225,plymouth volare custom,19,6,225,100,3630,17.7,77,US,0.154541602936727,-0.136323893616168
226,ford granada,18.5,6,250,98,3525,19,77,US,0.160167449061658,-0.139953878337531
227,pontiac grand prix lj,16,8,400,180,4220,11.1,77,US,0.887365540409784,-0.350744812704882
228,chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,US,0.805646097849676,-0.321840845811649
229,chrysler cordoba,15.5,8,400,190,4325,12.2,77,US,0.910615191591807,-0.358161473968828
230,ford thunderbird,16,8,351,149,4335,14.5,77,US,0.752565737434858,-0.328059430943644
231,volkswagen rabbit custom,29,4,97,78,1940,14.5,77,Europe,-0.501846193476079,0.081531405230128
232,pontiac sunbird coupe,24.5,4,151,88,2740,16,77,US,-0.308463316425463,0.026199232865976
233,toyota corolla liftback,26,4,97,75,2265,18.2,77,Japan,-0.482326256868984,0.072948764051126
234,ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,US,-0.324448483513506,0.02681398032089
235,chevrolet chevette,30.5,4,98,63,2051,17,77,US,-0.553102614171328,0.073813948631898
236,dodge colt m/m,33.5,4,98,83,2075,15.9,77,US,-0.528705991065525,0.057745455134145
237,subaru dl,30,4,97,67,1985,16.4,77,Japan,-0.544112467485679,0.078408745812887
238,volkswagen dasher,30.5,4,97,78,2190,14.1,77,Europe,-0.483117019192339,0.063710564308012
239,datsun 810,22,6,146,97,2815,14.5,77,Japan,-0.027638280445276,-0.066004241259423
240,bmw 320i,21.5,4,121,110,2600,12.8,77,Europe,-0.262070790372272,0.050947088516104
241,mazda rx-4,21.5,3,80,110,2720,13.5,77,Japan,-0.416891739813296,0.110101530528704
242,volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,Europe,-0.772202853571743,-0.033646204882199
243,ford fiesta,36.1,4,98,66,1800,14.4,78,US,-0.621085981368451,-0.007539092270153
244,mazda glc deluxe,32.8,4,78,52,1985,19.4,78,Japan,-0.670765258570222,0.00356908430161
245,datsun b210 gx,39.4,4,85,70,2070,18.6,78,Japan,-0.668636109910898,-0.029599064451517
246,honda civic cvcc,36.1,4,91,60,1800,16.4,78,Japan,-0.6598968085446,-0.003616172512767
247,oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,US,0.400956924170309,-0.31577213611576
248,dodge diplomat,19.4,8,318,140,3735,13.2,78,US,0.591412449001145,-0.366741886578549
249,mercury monarch ghia,20.2,8,302,139,3570,12.8,78,US,0.549732713018103,-0.353098389980161
250,pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,US,0.120095711457239,-0.213980726628265
251,chevrolet malibu,20.5,6,200,95,3155,18.2,78,US,0.022331883972644,-0.181097668842055
252,ford fairmont (auto),20.2,6,200,85,2965,15.8,78,US,0.009289822453086,-0.166094754857243
253,ford fairmont (man),25.1,4,140,88,2720,15.4,78,US,-0.346495384575418,-0.046982316106708
254,plymouth volare,20.5,6,225,100,3430,17.2,78,US,0.100951426807819,-0.20755667736025
255,amc concord,19.4,6,232,90,3210,17.2,78,US,0.076049165621654,-0.19250881477684
256,buick century special,20.6,6,231,105,3380,15.8,78,US,0.124507431395331,-0.208668204157952
257,mercury zephyr,20.8,6,200,85,3070,16.7,78,US,0.00691802324787,-0.17394494886888
258,dodge aspen,18.6,6,225,110,3620,18.7,78,US,0.141548564910008,-0.215274035684024
259,amc concord d/l,18.1,6,258,120,3410,15.1,78,US,0.215016643515631,-0.218187593026654
260,chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,US,0.552786961341832,-0.34548142252818
261,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,US,0.289300553279589,-0.219575115508116
262,ford futura,18.1,8,302,139,3205,11.2,78,US,0.543080658786818,-0.326422496620654
263,dodge magnum xe,17.5,8,318,140,4080,13.7,78,US,0.64069019759011,-0.379338923692218
264,chevrolet chevette,30,4,98,68,2155,16.5,78,US,-0.547056250874615,-0.008772492780757
265,toyota corona,27.5,4,134,95,2560,14.2,78,Japan,-0.367042392934206,-0.044943432674242
266,datsun 510,27.2,4,119,97,2300,14.7,78,Japan,-0.412036688456392,-0.024499088359258
267,dodge omni,30.9,4,105,75,2230,14.5,78,US,-0.505810212880318,-0.019797275018349
268,toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,Japan,-0.323461549559329,-0.022741601137956
269,plymouth sapporo,23.2,4,156,105,2745,16.7,78,US,-0.290565910964465,-0.054809065191532
270,oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,US,-0.334720213517724,-0.05490469099968
271,datsun 200-sx,23.9,4,119,97,2405,14.9,78,Japan,-0.374358795515867,-0.019819250104518
272,audi 5000,20.3,5,131,103,2830,15.9,78,Europe,-0.168670807977233,-0.086610944202836
273,volvo 264gl,17,6,163,125,3140,13.6,78,Europe,0.106872955461565,-0.160142416892543
274,saab 99gle,21.6,4,121,115,2795,15.7,78,Europe,-0.284502240467527,-0.039820962478505
275,peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe,0.136408671817841,-0.175276851083611
276,volkswagen scirocco,31.5,4,89,71,1990,14.9,78,Europe,-0.567385267563304,-0.001005123988919
277,honda accord lx,29.5,4,98,68,2135,16.6,78,Japan,-0.545990538127897,-0.006184553072974
278,pontiac lemans v6,21.5,6,231,115,3245,15.4,79,US,0.10043336684085,-0.284447511252387
279,mercury zephyr 6,19.8,6,200,85,2990,18.2,79,US,-0.031830544181628,-0.244578203050359
280,ford fairmont 4,22.3,4,140,88,2890,17.3,79,US,-0.346306159444186,-0.12543311913897
281,amc concord dl 6,20.2,6,232,90,3265,18.2,79,US,0.041784071868915,-0.275747379597435
282,dodge aspen 6,20.6,6,225,110,3360,16.6,79,US,0.092811905529605,-0.284196730040385
283,chevrolet caprice classic,17,8,305,130,3840,15.4,79,US,0.544586375573907,-0.434572036262409
284,ford ltd landau,17.6,8,302,129,3725,13.4,79,US,0.541109758686557,-0.427890032934325
285,mercury grand marquis,16.5,8,351,138,3955,13.2,79,US,0.65174844417805,-0.46039753593749
286,dodge st. regis,18.2,8,318,135,3830,15.2,79,US,0.559627682917027,-0.4448010300039
287,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,US,0.706103612477014,-0.488460302341903
288,ford country squire (sw),15.5,8,351,142,4054,14.3,79,US,0.667651405033426,-0.464169697460811
289,chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,US,0.450148466185086,-0.410916219984365
290,chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,US,0.667496682581668,-0.473190972332727
291,vw rabbit custom,31.9,4,89,71,1925,14,79,Europe,-0.592808039333991,-0.075792991664432
292,maxda glc deluxe,34.1,4,86,65,1975,15.2,79,Japan,-0.632261175347595,-0.082811063463244
293,dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,US,-0.603182993556442,-0.093875582824431
294,amc spirit dl,27.4,4,121,80,2670,15,79,US,-0.428240311778328,-0.11818411924662
295,mercedes benz 300d,25.4,5,183,77,3530,20.1,79,Europe,-0.18616947054472,-0.233855942077639
