,Model,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Year,Origin,dim1,dim2
81,toyouta corona mark ii (sw),23,4,120,97,2506,14.5,72,Japan,-0.236407197233282,0.233346861934032
82,dodge colt (sw),28,4,98,80,2164,15,72,US,-0.335445184881414,0.481659511211791
83,toyota corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan,-0.41561562075416,0.563007492479785
84,buick century 350,13,8,350,175,4100,13,73,US,0.815547628867055,0.204448263578469
85,amc matador,14,8,304,150,3672,11.5,73,US,0.698812181543824,0.023398165580458
86,chevrolet malibu,13,8,350,145,3988,13,73,US,0.985713645003527,-0.053037604305525
87,ford gran torino,14,8,302,137,4042,14.5,73,US,0.659001198979017,-0.154223334656726
88,dodge coronet custom,15,8,318,150,3777,12.5,73,US,0.817945055328721,-0.047298842434622
89,mercury marquis brougham,12,8,429,198,4952,11.5,73,US,1.03723198473089,-0.326881578391341
90,chevrolet caprice classic,13,8,400,150,4464,12,73,US,0.942990385241906,-0.075596060449374
91,ford ltd,13,8,351,158,4363,13,73,US,0.790220262205269,-0.097933346338879
92,plymouth fury gran sedan,14,8,318,150,4237,14.5,73,US,0.912445800428696,0.011803647870492
93,chrysler new yorker brougham,13,8,440,215,4735,11,73,US,1.07463685154035,0.146156730335408
94,buick electra 225 custom,12,8,455,225,4951,11,73,US,1.21170404576258,0.112412420635513
95,amc ambassador brougham,13,8,360,175,3821,11,73,US,0.947211074556286,0.19866323341119
96,plymouth valiant,18,6,225,105,3121,16.5,73,US,0.142056437501285,0.169122228573125
97,chevrolet nova custom,16,6,250,100,3278,18,73,US,0.336148039085622,0.237533390416946
98,amc hornet,18,6,232,100,2945,16,73,US,0.336404614349979,0.44750245964327
99,ford maverick,18,6,250,88,3021,16.5,73,US,0.315009837818445,0.4237331146971
100,plymouth duster,23,6,198,95,2904,16,73,US,0.0886784595118,0.248980211167132
101,volkswagen super beetle,26,4,97,46,1950,21,73,Europe,-0.542217338368056,0.161975995787661
102,chevrolet impala,11,8,400,150,4997,14,73,US,0.953962247275582,-0.302912246762547
103,ford country,12,8,400,167,4906,12.5,73,US,1.14052271907047,0.07066200014591
104,plymouth custom suburb,13,8,360,170,4654,13,73,US,0.92362550697632,0.127818911949719
105,oldsmobile vista cruiser,12,8,350,180,4499,12.5,73,US,1.05210801635966,-0.235675380704998
106,amc gremlin,18,6,232,100,2789,15,73,US,0.313545080109581,0.277251772404787
107,toyota carina,20,4,97,88,2279,19,73,Japan,-0.412353842988751,0.480900019459569
108,chevrolet vega,21,4,140,72,2401,19.5,73,US,-0.301803824968482,0.397290751962935
109,datsun 610,22,4,108,94,2379,16.5,73,Japan,-0.229119167689003,0.196184310414272
110,maxda rx3,18,3,70,90,2124,13.5,73,Japan,-0.284443979638917,0.41272905758801
111,ford pinto,19,4,122,85,2310,18.5,73,US,-0.217314303338069,0.393331246416683
112,mercury capri v6,21,6,155,107,2472,14,73,US,0.119523705111463,0.06973243586669
113,fiat 124 sport coupe,26,4,98,90,2265,15.5,73,Europe,-0.272027345607854,0.224627734742217
114,chevrolet monte carlo s,15,8,350,145,4082,13,73,US,0.858453067939779,-0.161933230761387
115,pontiac grand prix,16,8,400,230,4278,9.5,73,US,1.15699751741561,-0.157827239882042
116,fiat 128,29,4,68,49,1867,19.5,73,Europe,-0.612450847730637,0.497315311741336
117,opel manta,24,4,116,75,2158,15.5,73,Europe,-0.24962850592013,0.603499722913414
118,audi 100ls,20,4,114,91,2582,14,73,Europe,-0.15928489384395,0.434143763272989
119,volvo 144ea,19,4,121,112,2868,15.5,73,Europe,0.003075263559978,0.590873651558638
120,dodge dart custom,15,8,318,150,3399,11,73,US,0.815068073915752,-0.068092668758507
121,saab 99le,24,4,121,110,2660,14,73,Europe,-0.125790474879819,0.136856024704045
122,toyota mark ii,20,6,156,122,2807,13.5,73,Japan,0.080177686057325,0.106423454573284
123,oldsmobile omega,11,8,350,180,3664,11,73,US,1.05488820757258,-0.102307231591759
124,plymouth duster,20,6,198,95,3102,16.5,74,US,0.20134412253016,-0.024736601991007
125,amc hornet,19,6,232,100,2901,16,74,US,0.154655736376687,-0.110662270891855
126,chevrolet nova,15,6,250,100,3336,17,74,US,0.134849917127653,0.289078606344212
127,datsun b210,31,4,79,67,1950,19,74,Japan,-0.415676538886936,0.220427237542485
128,ford pinto,26,4,122,80,2451,16.5,74,US,-0.239220156352023,0.077357999951923
129,toyota corolla 1200,32,4,71,65,1836,21,74,Japan,-0.501966181272843,0.369695278448207
130,chevrolet vega,25,4,140,75,2542,17,74,US,-0.440184460621436,0.355086413326401
131,chevrolet chevelle malibu classic,16,6,250,100,3781,17,74,US,0.394299701324196,-0.138966730602834
132,amc matador,16,6,258,110,3632,18,74,US,0.164191250541371,0.031337599448317
133,plymouth satellite sebring,18,6,225,105,3613,16.5,74,US,0.266723340812915,-0.112136097330447
134,ford gran torino,16,8,302,140,4141,14,74,US,0.877483709295749,-0.267801357037981
135,buick century luxus (sw),13,8,350,150,4699,14.5,74,US,0.77242135187189,0.071061135811835
136,dodge coronet custom (sw),14,8,318,150,4457,13.5,74,US,0.863743794514736,-0.105781371190796
137,ford gran torino (sw),14,8,302,140,4638,16,74,US,0.913468653488982,-0.019876834294313
138,amc matador (sw),14,8,304,150,4257,15.5,74,US,0.861674807107291,-0.247146115246675
139,audi fox,29,4,98,83,2219,16.5,74,Europe,-0.454525876241792,0.113736635545778
140,volkswagen dasher,26,4,79,67,1963,15.5,74,Europe,-0.49266584164423,0.562903377301534
141,opel manta,26,4,97,78,2300,14.5,74,Europe,-0.261360749002198,0.109178848767337
142,toyota corona,31,4,76,52,1649,16.5,74,Japan,-0.66227377061879,0.381809936839617
143,datsun 710,32,4,83,61,2003,19,74,Japan,-0.48193894727332,0.362242452038433
144,dodge colt,28,4,90,75,2125,14.5,74,US,-0.318919946112,0.244926419414604
145,fiat 128,24,4,90,75,2108,15.5,74,Europe,-0.30812957138406,0.484005345640547
146,fiat 124 tc,26,4,116,75,2246,14,74,Europe,-0.352631463932802,0.219289335872486
147,honda civic,24,4,120,97,2489,15,74,Japan,-0.310634647528977,0.137640255120019
148,subaru,26,4,108,93,2391,15.5,74,Japan,-0.370438795854212,0.11840450170186
149,fiat x1.9,31,4,79,67,2000,16,74,Europe,-0.39389266345577,0.306734861374302
150,plymouth valiant custom,19,6,225,95,3264,16,75,US,0.193547161511888,-0.022528845818755
151,chevrolet nova,18,6,250,105,3459,16,75,US,0.183008844636681,0.200454122373588
152,mercury monarch,15,6,250,72,3432,21,75,US,0.201164339884032,0.00209457602164
153,ford maverick,15,6,250,72,3158,19.5,75,US,0.076547307388207,0.057825180166877
154,pontiac catalina,16,8,400,170,4668,11.5,75,US,1.019302754618,-0.399561150716269
155,chevrolet bel air,15,8,350,145,4440,14,75,US,0.904622553609768,-0.397067235792863
156,plymouth grand fury,16,8,318,150,4498,14.5,75,US,0.78055635253158,0.06926706953007
157,ford ltd,14,8,351,148,4657,13.5,75,US,0.909471796793489,-0.129884137912129
158,buick century,17,6,231,110,3907,21,75,US,0.355647293399741,-0.131567746274918
159,chevroelt chevelle malibu,16,6,250,105,3897,18.5,75,US,0.169975225559778,0.133702318925627
160,amc matador,15,6,258,110,3730,19,75,US,0.177335500736859,0.078375898829306
161,plymouth fury,18,6,225,95,3785,19,75,US,0.273406883209892,-0.159541858236711
162,buick skyhawk,21,6,231,110,3039,15,75,US,0.307794391353229,0.18763490510923
163,chevrolet monza 2+2,20,8,262,110,3221,13.5,75,US,0.483825520269034,-0.02480113792752
164,ford mustang ii,13,8,302,129,3169,12,75,US,0.532519708553939,0.066330400110443
165,toyota corolla,29,4,97,75,2171,16,75,Japan,-0.358814996218131,0.074765327018688
166,ford pinto,23,4,140,83,2639,17,75,US,-0.194873914749404,0.289420364558751
167,amc gremlin,20,6,232,100,2914,16,75,US,0.148920711991228,0.210993832513287
168,pontiac astro,23,4,140,78,2592,18.5,75,US,-0.274887332312092,0.129751389741661
169,toyota corona,24,4,134,96,2702,13.5,75,Japan,-0.093389571692125,-0.023413418364419
170,volkswagen dasher,25,4,90,71,2223,16.5,75,Europe,-0.36501302050816,0.315639479347904
171,datsun 710,24,4,119,97,2545,17,75,Japan,-0.216316956401259,0.414572447418231
172,ford pinto,18,6,171,97,2984,14.5,75,US,0.119837230077597,0.217858192616211
173,volkswagen rabbit,29,4,90,70,1937,14,75,Europe,-0.340998271152533,0.114967938273819
174,amc pacer,19,6,232,90,3211,17,75,US,0.008771028073259,0.206919240965514
175,audi 100ls,23,4,115,95,2694,15,75,Europe,-0.171938057389725,0.425144899543012
176,peugeot 504,23,4,120,88,2957,17,75,Europe,-0.395175221730764,0.070538279541061
177,volvo 244dl,22,4,121,98,2945,14.5,75,Europe,-0.087491005303573,0.40874675884085
178,saab 99le,25,4,121,115,2671,13.5,75,Europe,-0.338333058429648,0.033100196713928
179,honda civic cvcc,33,4,91,53,1795,17.5,75,Japan,-0.687157482807273,0.417042200218535
180,fiat 131,28,4,107,86,2464,15.5,76,Europe,-0.312960113107729,0.243260536231655
181,opel 1900,25,4,116,81,2220,16.9,76,Europe,-0.437089160022579,0.245089683360665
182,capri ii,25,4,140,92,2572,14.9,76,US,-0.280242064230613,0.237892974665331
183,dodge colt,26,4,98,79,2255,17.7,76,US,-0.368830524951927,0.335096479069322
184,renault 12tl,27,4,101,83,2202,15.3,76,Europe,-0.422593320215891,-0.075518428908319
185,chevrolet chevelle malibu classic,17.5,8,305,140,4215,13,76,US,0.801543434740628,-0.266023147264546
186,dodge coronet brougham,16,8,318,150,4190,13,76,US,0.72854216951745,-0.15859698463325
187,amc matador,15.5,8,304,120,3962,13.9,76,US,0.576559996323457,-0.446026047181282
188,ford gran torino,14.5,8,351,152,4215,12.8,76,US,0.690920648040794,-0.477987693186254
189,plymouth valiant,22,6,225,100,3233,15.4,76,US,0.271990464033788,-0.062264909765841
190,chevrolet nova,22,6,250,105,3353,14.5,76,US,0.142226933445693,-0.080613356394124
191,ford maverick,24,6,200,81,3012,17.6,76,US,-0.113617726899857,-0.011808903077972
192,amc hornet,22.5,6,232,90,3085,17.6,76,US,0.096337681310162,-0.086826566641704
193,chevrolet chevette,29,4,85,52,2035,22.2,76,US,-0.737272500241293,0.19907400277461
194,chevrolet woody,24.5,4,98,60,2164,22.1,76,US,-0.443790702475024,0.334345109889874
195,vw rabbit,29,4,90,70,1937,14.2,76,Europe,-0.360017595585549,0.233590266858555
196,honda civic,33,4,91,53,1795,17.4,76,Japan,-0.69496723734757,0.235107945381387
197,dodge aspen se,20,6,225,100,3651,17.7,76,US,0.315518133414471,0.153179143449223
198,ford granada ghia,18,6,250,78,3574,21,76,US,0.25944447718681,-0.178994229394571
199,pontiac ventura sj,18.5,6,250,110,3645,16.2,76,US,0.364212892460038,0.1420667536659
200,amc pacer d/l,17.5,6,258,95,3193,17.8,76,US,0.26792446378391,0.114192363863681
201,volkswagen rabbit,29.5,4,97,71,1825,12.2,76,Europe,-0.34760650746975,0.320159957682093
202,datsun b-210,32,4,85,70,1990,17,76,Japan,-0.447997382578397,0.132132925985987
203,toyota corolla,28,4,97,75,2155,16.4,76,Japan,-0.536554968044791,-0.067895633680144
204,ford pinto,26.5,4,140,72,2565,13.6,76,US,-0.280594020830323,0.33742603515884
205,volvo 245,20,4,130,102,3150,15.7,76,Europe,-0.058230171356529,0.230211234583153
206,plymouth volare premier v8,13,8,318,150,3940,13.2,76,US,0.873617934750657,-0.45508507973901
207,peugeot 504,19,4,120,88,3270,21.9,76,Europe,-0.257572349418568,0.286742312136826
208,toyota mark ii,19,6,156,108,2930,15.5,76,Japan,0.078637514945617,-0.146092390550563
209,mercedes-benz 280s,16.5,6,168,120,3820,16.7,76,Europe,0.297690891579224,-0.163417531895595
210,cadillac seville,16.5,8,350,180,4380,12.1,76,US,0.829103075859167,-0.083146708438346
211,chevy c10,13,8,350,145,4055,12,76,US,0.916465458332635,-0.362966913278325
212,ford f108,13,8,302,130,3870,15,76,US,0.662671571747661,-0.048150036517892
213,dodge d100,13,8,318,150,3755,14,76,US,0.776626223510913,-0.149081751869334
214,honda accord cvcc,31.5,4,98,68,2045,18.5,77,Japan,-0.516666281526872,0.040047281796172
215,buick opel isuzu deluxe,30,4,111,80,2155,14.8,77,US,-0.534079145549291,0.034435534858298
216,renault 5 gtl,36,4,79,58,1825,18.6,77,Europe,-0.627320628573762,0.121629041306104
217,plymouth arrow gs,25.5,4,122,96,2300,15.5,77,US,-0.30228327389472,0.187145188259097
218,datsun f-10 hatchback,33.5,4,85,70,1945,16.8,77,Japan,-0.708385818259201,-0.127360456650292
219,chevrolet caprice classic,17.5,8,305,145,3880,12.5,77,US,0.707148976470875,-0.31956256590458
220,oldsmobile cutlass supreme,17,8,260,110,4060,19,77,US,0.485201664310525,-0.352400344473641
221,dodge monaco brougham,15.5,8,318,145,4140,13.7,77,US,0.803158412662286,-0.377688779145567
222,mercury cougar brougham,15,8,302,130,4295,14.9,77,US,0.516713382967223,-0.210252768653338
223,chevrolet concours,17.5,6,250,110,3520,16.4,77,US,0.257151247754276,-0.197857607978013
224,buick skylark,20.5,6,231,105,3425,16.9,77,US,0.185905064016062,0.066036921036986
225,plymouth volare custom,19,6,225,100,3630,17.7,77,US,0.063565736608395,-0.078514200513597
226,ford granada,18.5,6,250,98,3525,19,77,US,0.275056513637027,-0.17464259090458
227,pontiac grand prix lj,16,8,400,180,4220,11.1,77,US,0.7617345488062,-0.590372601003431
228,chevrolet monte carlo landau,15.5,8,350,170,4165,11.4,77,US,0.768036909039032,-0.37168147077712
229,chrysler cordoba,15.5,8,400,190,4325,12.2,77,US,1.00419744469903,-0.157556777644659
230,ford thunderbird,16,8,351,149,4335,14.5,77,US,0.895060536107164,-0.352714521889695
231,volkswagen rabbit custom,29,4,97,78,1940,14.5,77,Europe,-0.508273554619988,0.099926602101867
232,pontiac sunbird coupe,24.5,4,151,88,2740,16,77,US,-0.180285480461789,0.116808236301039
233,toyota corolla liftback,26,4,97,75,2265,18.2,77,Japan,-0.39157676163133,0.164673824548613
234,ford mustang ii 2+2,25.5,4,140,89,2755,15.8,77,US,-0.430054122215114,-0.119923737357168
235,chevrolet chevette,30.5,4,98,63,2051,17,77,US,-0.677914715732064,0.033019184274104
236,dodge colt m/m,33.5,4,98,83,2075,15.9,77,US,-0.564383175693624,0.238844563911519
237,subaru dl,30,4,97,67,1985,16.4,77,Japan,-0.584075193744075,0.273106074861696
238,volkswagen dasher,30.5,4,97,78,2190,14.1,77,Europe,-0.617170991777836,0.224995196251029
239,datsun 810,22,6,146,97,2815,14.5,77,Japan,-0.060228671167889,-0.210065581090552
240,bmw 320i,21.5,4,121,110,2600,12.8,77,Europe,-0.231869294266467,0.00175036022485
241,mazda rx-4,21.5,3,80,110,2720,13.5,77,Japan,-0.418551741632006,0.01991599265083
242,volkswagen rabbit custom diesel,43.1,4,90,48,1985,21.5,78,Europe,-0.737256365822444,0.143401691859813
243,ford fiesta,36.1,4,98,66,1800,14.4,78,US,-0.709772703092065,-0.228056846224223
244,mazda glc deluxe,32.8,4,78,52,1985,19.4,78,Japan,-0.755269355768818,-0.238972784997812
245,datsun b210 gx,39.4,4,85,70,2070,18.6,78,Japan,-0.519638219958452,0.00987800376453
246,honda civic cvcc,36.1,4,91,60,1800,16.4,78,Japan,-0.700458509909609,-0.063525247876048
247,oldsmobile cutlass salon brougham,19.9,8,260,110,3365,15.5,78,US,0.384755949586087,-0.205963033818272
248,dodge diplomat,19.4,8,318,140,3735,13.2,78,US,0.640945205383188,-0.602496528147077
249,mercury monarch ghia,20.2,8,302,139,3570,12.8,78,US,0.662938316571069,-0.265614416223134
250,pontiac phoenix lj,19.2,6,231,105,3535,19.2,78,US,0.108120118620625,-0.089087006727353
251,chevrolet malibu,20.5,6,200,95,3155,18.2,78,US,0.074123412101845,-0.011117889299727
252,ford fairmont (auto),20.2,6,200,85,2965,15.8,78,US,-0.018108755384796,-0.117482901135751
253,ford fairmont (man),25.1,4,140,88,2720,15.4,78,US,-0.367100061329028,0.112319735761079
254,plymouth volare,20.5,6,225,100,3430,17.2,78,US,-0.019823128756521,-0.439579691524323
255,amc concord,19.4,6,232,90,3210,17.2,78,US,-0.054340914288119,-0.098742852318291
256,buick century special,20.6,6,231,105,3380,15.8,78,US,0.246104996362316,-0.034686833973186
257,mercury zephyr,20.8,6,200,85,3070,16.7,78,US,0.052868439509033,-0.005816032924792
258,dodge aspen,18.6,6,225,110,3620,18.7,78,US,0.231983362353089,-0.183504619976851
259,amc concord d/l,18.1,6,258,120,3410,15.1,78,US,0.284361370464203,-0.407207642985061
260,chevrolet monte carlo landau,19.2,8,305,145,3425,13.2,78,US,0.605366231011753,-0.370947705079458
261,buick regal sport coupe (turbo),17.7,6,231,165,3445,13.4,78,US,0.301758720600742,-0.083238253444908
262,ford futura,18.1,8,302,139,3205,11.2,78,US,0.675634793110635,-0.521383257615897
263,dodge magnum xe,17.5,8,318,140,4080,13.7,78,US,0.681175462977718,-0.61860988910529
264,chevrolet chevette,30,4,98,68,2155,16.5,78,US,-0.442946134096657,0.080130237129532
265,toyota corona,27.5,4,134,95,2560,14.2,78,Japan,-0.236799935008166,-0.087466068981928
266,datsun 510,27.2,4,119,97,2300,14.7,78,Japan,-0.485701420716712,0.0366422337996
267,dodge omni,30.9,4,105,75,2230,14.5,78,US,-0.474452207139329,-0.19039432871983
268,toyota celica gt liftback,21.1,4,134,95,2515,14.8,78,Japan,-0.338784860978341,0.076522993291815
269,plymouth sapporo,23.2,4,156,105,2745,16.7,78,US,-0.14130405302446,-0.292790992140276
270,oldsmobile starfire sx,23.8,4,151,85,2855,17.6,78,US,-0.321133665094566,-0.095063447705461
271,datsun 200-sx,23.9,4,119,97,2405,14.9,78,Japan,-0.464029560207636,0.200616622052569
272,audi 5000,20.3,5,131,103,2830,15.9,78,Europe,-0.219099033694929,0.094228920035453
273,volvo 264gl,17,6,163,125,3140,13.6,78,Europe,0.054447423802688,-0.272311082204395
274,saab 99gle,21.6,4,121,115,2795,15.7,78,Europe,-0.151822546189077,0.06168963822471
275,peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe,-0.010443145967486,-0.017454995095891
276,volkswagen scirocco,31.5,4,89,71,1990,14.9,78,Europe,-0.703149888076718,-0.099476816092828
277,honda accord lx,29.5,4,98,68,2135,16.6,78,Japan,-0.464438290832427,0.158678195475582
278,pontiac lemans v6,21.5,6,231,115,3245,15.4,79,US,-0.026339475372535,-0.130874925452385
279,mercury zephyr 6,19.8,6,200,85,2990,18.2,79,US,-0.101592752015796,-0.383209531622546
280,ford fairmont 4,22.3,4,140,88,2890,17.3,79,US,-0.414325009347813,-0.000795474798516
281,amc concord dl 6,20.2,6,232,90,3265,18.2,79,US,0.011347620187952,-0.102515812416972
282,dodge aspen 6,20.6,6,225,110,3360,16.6,79,US,0.142414523967313,-0.412919013724054
283,chevrolet caprice classic,17,8,305,130,3840,15.4,79,US,0.693389408043464,-0.571099182313393
284,ford ltd landau,17.6,8,302,129,3725,13.4,79,US,0.519096457653426,-0.63107409434369
285,mercury grand marquis,16.5,8,351,138,3955,13.2,79,US,0.537789263775877,-0.611804335503669
286,dodge st. regis,18.2,8,318,135,3830,15.2,79,US,0.695641580657243,-0.274007540544511
287,buick estate wagon (sw),16.9,8,350,155,4360,14.9,79,US,0.701905929039908,-0.355764268925111
288,ford country squire (sw),15.5,8,351,142,4054,14.3,79,US,0.557343052626098,-0.530192542205586
289,chevrolet malibu classic (sw),19.2,8,267,125,3605,15,79,US,0.351571715915014,-0.209617605798048
290,chrysler lebaron town @ country (sw),18.5,8,360,150,3940,13,79,US,0.757792313183441,-0.373517452109226
291,vw rabbit custom,31.9,4,89,71,1925,14,79,Europe,-0.486085184536473,0.152284908214235
292,maxda glc deluxe,34.1,4,86,65,1975,15.2,79,Japan,-0.488457990426247,0.052860907836171
293,dodge colt hatchback custom,35.7,4,98,80,1915,14.4,79,US,-0.719522660189844,-0.037616120005622
294,amc spirit dl,27.4,4,121,80,2670,15,79,US,-0.312393606444776,-0.271748537596324
295,mercedes benz 300d,25.4,5,183,77,3530,20.1,79,Europe,-0.153240514129098,-0.319685843141197
